term,definition,category,example,correct,attempts,last_tested
"Orthodontic instruments
• Triple-beaked pliers (Three-jaw pliers, Clasp-adjusting
pliers)","Pliers similar to but smaller than the facebow-adjusting
pliers, with a box-jointed pivot construction. The
double-sectioned beak is opposed by a single beak, so
that a squeezing motion can produce a sharp bend in
the wire. Used for adjusting wires, particularly labialbows or clasps on retainers, as well as for placing a curve on flexible or heavier wires, or stainless
steel tubing.",,,,,
"Orthodontic instruments
• Tweed arch-adjusting (no. 142) pliers","Pliers used exclusively for handling or adjusting
square or rectangular wires. The beaks are
symmetrically flattened blades that are parallel at a
separation of 0.020 inch (0.51 mm).",,,,,
"Orthodontic instruments
• Tweed loop-forming pliers (Omega pliers,
Optical pliers)","Pliers with two opposed parallel beaks, one with
concave and one with round cross-section. The
round beak generally is stepped, having three
sections of different diameters (most commonly
0.045, 0.060, and 0.075 inch or 1.12, 1.50 and
1.90 mm). The tip of the round beak may be
replaceable. Used to form various loops or short
curved sections in orthodontic wire.",,,,,
Orthodontic springs,"Force-producing modules or appliance components, made of metal.",,,,,
"Orthodontic springs
• Cantilever spring","In principle, any piece of wire, one end of which is
inserted fully into a bracket or tube, while the
other end is ligated to another unit with only a
one-point contact. The advantage of using
cantilever mechanics is that the created force
system can be estimated easily at both units
(statically determinate force system) by knowing
the length of the cantilever and by measuring the
force exerted at its ligated end with a force
gauge. Moreover, the relatively long range of
deactivation of the spring results in a low
magnitude continuous force (low load/deflection
ratio) that generally is considered desirable for
tooth movement.
[See Mechanics, Cantilever mechanics]",,,,,
"Orthodontic springs
• Closed spring",A spring (usually part of a removable appliance) having both ends attached.,,,,,
"Orthodontic springs
• Coffin spring","An omega-shaped (_) spring made of heavygauge wire, spanning across the palate as part
of some removable orthodontic appliances
(e.g. the Bimler or the Crozat appliance). The
function of a Coffin spring is to offer the
possibility of expansion or constriction of the
maxillary dental arch.",,,,,
"Orthodontic springs
• Coffin spring open","Spring made of fine (typically 0.010 to 0.012 inch, or 0.25 to 0.30 mm) orthodontic wire wound into
a coil whose helices are spaced, so it can be compressed along its long axis. An open coil spring
comes in a spool and usually is cut to a length larger than the interbracket distance between the
teeth that are intended to be moved away from each other. It is compressed prior to insertion,
generating equal and opposite forces on either end.",,,,,
"Orthodontic springs
• Coil spring, Retraction (Pletcher spring, Closing coil spring)","Spring made of fine (typically 0.010 to 0.012 inch, or 0.25 to
0.30 mm) orthodontic wire wound into a coil with tightly
contacting helices. The coils are prefabricated from
superelastic or stainless steel wire and come in
predetermined lengths with two eyelets on either end.
Retraction coil springs are used to generate forces for
retraction of teeth or space closure by extending them beyond their initial length.",,,,,
"Orthodontic springs
• Finger spring","A free-end spring usually incorporated in removable orthodontic appliances to produce various
tipping movements of teeth. Finger springs can contain helices to increase the effective wire length
for added flexibility.",,,,,
"Orthodontic springs
• Free-end spring (Open spring)","A broad category of springs (usually part of a removable appliance) having only one end
embedded in acrylic.",,,,,
"Orthodontic springs
• PG spring (Gjessing spring)","A universal retraction spring made of 0.016 x 0.022-inch
stainless steel wire, introduced by P. Gjessing. The spring
consists of a 10 mm-long, double, ovoid-shaped, closed
loop extending gingivally, continuing with a small (2 mm in
diameter) occlusal helix. This configuration was designed to reduce the load/deflection rate to
approximately 45 g per millimeter of activation. The spring also has an anti-tip moment-to-force
ratio of approximately 11:1 and an anti-rotation moment-to-force ratio of approximately 7:1.
It is meant to be used as a segmental spring for frictionless segmental canine retraction by
translation, or for ""en masse"" retraction of the maxillary incisors without undesirable lingual tipping.
The spring is supposed to be activated every 4 to 6 weeks, to the point where the double loop is
separated, which is calibrated to produce approximately 100 g of force.",,,,,
"Orthodontic springs
• Root spring","An orthodontic spring that can cause movement of the root of a tooth with relatively little movement
of the crown. Uprighting springs and torquing springs both are subcategories of root springs.
Orthodontic springs
• Rotation spring
Auxiliary orthodontic spring, commonly used with single
brackets (usually inserted into the vertical slot) to generate
the moment required for rotation of a tooth around its long
axis.",,,,,
"Orthodontic springs
• Torquing spring","Auxiliary orthodontic spring used to move the root of a tooth in
the labiolingual or buccolingual direction.",,,,,
"Orthodontic springs
• Uprighting spring","Auxiliary orthodontic spring used to move
the root of a tooth in the mesiodistal
direction. Uprighting springs commonly
are used in the bracket vertical slot with
the Begg technique and its modifications
(e.g. the side-winder springs of the TipEdge appliance).",,,,,
"Orthodontic springs
• Z-spring (Recurved spring)","A spring bent in the form of a ""Z,"" commonly incorporated into a
removable appliance to tip an individual tooth or groups of teeth buccally
or labially.",,,,,
"Orthodontic tooth movement
• Pure rotation","Rotation of a tooth about its long axis, most evident when viewing the tooth from an occlusal
perspective. To achieve this type of tooth movement, the application of a couple is required.",,,,,
"Orthodontic tooth movement
• Tipping, Controlled","A type of tooth movement consisting of rotation about the apex of the tooth. It is achieved clinically
by the application of a force at the level of the bracket (as in uncontrolled tipping) as well as a
counter-moment to prevent movement of the root apex in the opposite direction. For an average
maxillary central incisor with no periodontal loss, the M/F ratio for controlled tipping is estimated to
be between 7:1 and 8:1.
[See Orthodontic tooth movement, Pure crown movement]",,,,,
"Orthodontic tooth movement
• • Translation (Bodily movement)","The type of tooth movement during which all points on a tooth move in the same direction by the
same amount. During bodily movement, the center of rotation can be assum-ed to lie at infinity. A
single force passing through the center of resistance canproduce translation of a tooth along its
line of action. Alternatively, a force and a (counter-)moment have to be applied at the bracket of a
tooth. For an average maxillary central incisor tooth with intact periodontium, a moment-to-force
ratio of approximately 10:1 at the level of the bracket is typical of translation.",,,,,
